Id,Title,Author,Year,Pages,Genre,Finished,Rating
1,The Shattered Crown,Eleanor Graves,2018,452,Fantasy,yes,4.3
2,A Brief History of Steam,Harold K. Morton,1996,310,History,y,3.9
3,Echoes in the Code,Maya Tanaka,2021,528,Science Fiction,no,4.7
4,Roses Under the Moon,Clara Duvall,2009,287,Romance,yes,4.1
5,The Quantum Architect,Darius Holt,2015,411,Software,n,3.8
6,Murder on Fleet Street,Graham Tilling,1982,364,Mystery,yes,4.5
7,Voices of the Empire,Santiago Ruiz,1723,611,History,no,3.4
8,A Garden for Tomorrow,Beatrice Liao,2020,299,Romance,yes,4.9
9,Stars Beyond Andromeda,Luca Ferraro,2005,672,Sci-Fi,y,4.2
10,The Mind of the Maker,Judith Collins,1957,243,Biography,no,3.7
